"Cod_Curso";"Semestre";"Nom_Curso";"JORNADA";"Grupo";"Programa";"Cupo_Max";"No_Estud"
12190414;"CUARTO SEMESTRE";"BASE DE DATOS I";DIURNO;A;"INGENIERIA DE SOFTWARE Y COMPUTACION";32;31
12190415;"CUARTO SEMESTRE";"ESTRUCTURA DE DATOS";DIURNO;A;"INGENIERIA DE SOFTWARE Y COMPUTACION";32;32
12190416;"CUARTO SEMESTRE";"INGENIERIA DEL SOFTWARE I";DIURNO;A;"INGENIERIA DE SOFTWARE Y COMPUTACION";28;26
12190517;"QUINTO SEMESTRE";"PROBABILIDAD COMPUTACIONAL Y ESTADISTICA";DIURNO;A;"INGENIERIA DE SOFTWARE Y COMPUTACION";25;19
12190518;"QUINTO SEMESTRE";"BASE DE DATOS II";DIURNO;A;"INGENIERIA DE SOFTWARE Y COMPUTACION";20;13
12190519;"QUINTO SEMESTRE";"COMPLEJIDAD ALGORITMICA";DIURNO;A;"INGENIERIA DE SOFTWARE Y COMPUTACION";20;14
12190520;"QUINTO SEMESTRE";"DESARROLLO  APLICACIONES  WEB";DIURNO;A;"INGENIERIA DE SOFTWARE Y COMPUTACION";20;11
12190521;"QUINTO SEMESTRE";"INGENIERIA DEL SOFTWARE  II";DIURNO;A;"INGENIERIA DE SOFTWARE Y COMPUTACION";20;15
12190622;"SEXTO SEMESTRE";"ANALISIS NUMÉRICO";DIURNO;A;"INGENIERIA DE SOFTWARE Y COMPUTACION";20;12
12190623;"SEXTO SEMESTRE";"ARQUITECTURA DE SISTEMAS OPERATIVOS";DIURNO;A;"INGENIERIA DE SOFTWARE Y COMPUTACION";20;9
12190624;"SEXTO SEMESTRE";"BASE DE DATOS AVANZADAS";DIURNO;A;"INGENIERIA DE SOFTWARE Y COMPUTACION";20;15
12190625;"SEXTO SEMESTRE";"TEORIA DE LA COMPUTACION";DIURNO;A;"INGENIERIA DE SOFTWARE Y COMPUTACION";20;20
12190626;"SEXTO SEMESTRE";"DESARROLLO DE APLICACIONES MÓVILES";DIURNO;A;"INGENIERIA DE SOFTWARE Y COMPUTACION";20;14
12190627;"SEXTO SEMESTRE";"CALIDAD DEL SOFTWARE  I";DIURNO;A;"INGENIERIA DE SOFTWARE Y COMPUTACION";20;15
12190728;"SEPTIMO SEMESTRE";"MODELADO PARA LA COMPUTACIÓN";DIURNO;A;"INGENIERIA DE SOFTWARE Y COMPUTACION";10;10
12190729;"SEPTIMO SEMESTRE";"REDES DE COMPUTADORES";DIURNO;A;"INGENIERIA DE SOFTWARE Y COMPUTACION";10;10
12190730;"SEPTIMO SEMESTRE";"SEGURIDAD INFORMATICA";DIURNO;A;"INGENIERIA DE SOFTWARE Y COMPUTACION";10;8
12190731;"SEPTIMO SEMESTRE";"ARQUITECTURA DE SOFTWARE";DIURNO;A;"INGENIERIA DE SOFTWARE Y COMPUTACION";10;5
12190732;"SEPTIMO SEMESTRE";"CALIDAD DE SOFTWARE II";DIURNO;A;"INGENIERIA DE SOFTWARE Y COMPUTACION";5;3
12190833;"OCTAVO SEMESTRE";"GESTIÓN DE REDES";DIURNO;A;"INGENIERIA DE SOFTWARE Y COMPUTACION";10;1
12190834;"OCTAVO SEMESTRE";"SISTEMA DE INFORMACIÓN EMPRESARIAL";DIURNO;A;"INGENIERIA DE SOFTWARE Y COMPUTACION";10;3
12190835;"OCTAVO SEMESTRE";"ELECTIVA I (Optativa)";DIURNO;A;"INGENIERIA DE SOFTWARE Y COMPUTACION";10;4
12190836;"OCTAVO SEMESTRE";"ELECTIVA III (Especializada)";DIURNO;A;"INGENIERIA DE SOFTWARE Y COMPUTACION";10;3
12190837;"OCTAVO SEMESTRE";"ELECTIVA V (Especizalizada)";DIURNO;A;"INGENIERIA DE SOFTWARE Y COMPUTACION";10;4
12190938;"NOVENO SEMESTRE";HCI;DIURNO;A;"INGENIERIA DE SOFTWARE Y COMPUTACION";15;4
12190939;"NOVENO SEMESTRE";"PRACTICA PROFESIONAL";DIURNO;A;"INGENIERIA DE SOFTWARE Y COMPUTACION";3;2
12190940;"NOVENO SEMESTRE";"GESTIÓN TECNOLÓGICA Y FINANCIERA";DIURNO;A;"INGENIERIA DE SOFTWARE Y COMPUTACION";5;4
12190941;"NOVENO SEMESTRE";"ELECTIVA II (Optativa)";DIURNO;A;"INGENIERIA DE SOFTWARE Y COMPUTACION";1;1
12190942;"NOVENO SEMESTRE";"ELECTIVA IV (Especializada)";DIURNO;A;"INGENIERIA DE SOFTWARE Y COMPUTACION";10;1
12190943;"NOVENO SEMESTRE";"ELECTIVA VI (Especializada)";DIURNO;A;"INGENIERIA DE SOFTWARE Y COMPUTACION";10;2
12191102;"REQUISITO DE GRADO ";"96 HORAS SEMINARIOS DE ACTUALIZACION";DIURNO;A;"INGENIERIA DE SOFTWARE Y COMPUTACION";5;9
12191104;"REQUISITO DE GRADO ";"CERT ACTIVIDAD DEP FORMATIVO";DIURNO;A;"INGENIERIA DE SOFTWARE Y COMPUTACION";5;5
